SMILES,Linear Carbonyl,Cyclic Carbonyl,Linear Ether,Cyclic Ether,tsne_x,tsne_y
C1CCOC1,0,0,0,1,-20.291328,18.26566
C1CCOC1,0,0,0,1,-20.291328,18.26566
C1CCOCC1,0,0,0,1,-20.416208,18.110174
O=C1OCCO1,0,1,0,0,-21.615822,38.56619
C1COCCO1,0,0,0,1,-19.525074,18.9281
C1COCO1,0,0,0,1,-19.490623,20.44778
C1COCOC1,0,0,0,1,-19.769342,20.278126
C1OCOCO1,0,0,0,1,-19.240953,20.993616
CC#N,0,0,0,0,34.146355,-5.2973223
CC(=O)C(C)(C)C,1,0,0,0,23.159689,20.955849
CC(=O)C(C)(C)C(C)C,1,0,0,0,22.798805,20.367939
CC(=O)C(C)C,1,0,0,0,71.46578,16.15056
CC(=O)C(C)C(C)(C)C,1,0,0,0,71.42876,14.967657
CC(=O)C(C)C(C)C,1,0,0,0,70.9951,15.678224
CC(=O)C(C)CC(C)C,1,0,0,0,73.19434,21.29943
CC(=O)C(C)OC(C)C,1,0,0,0,66.93668,16.727997
CC(=O)C1(C)CCCC1,0,1,0,0,-8.500655,36.54928
CC(=O)C1(C)CCCO1,0,1,0,0,-7.2720037,36.675926
CC(=O)C1(C)CCOC1,0,1,0,0,-8.559829,36.479744
CC(=O)C1(C)COCO1,0,1,0,0,-6.5904756,34.866016
CC(=O)C1(C)OCCO1,0,1,0,0,-7.4799037,37.211975
CC(=O)C1CC(C)CO1,0,1,0,0,-14.097557,-61.844677
CC(=O)C1CCC(C)C1,0,1,0,0,-9.459066,-64.87011
CC(=O)C1CCC(C)O1,0,1,0,0,-13.983194,-60.359722
CC(=O)C1CCCC1,0,1,0,0,-9.583069,-65.916245
CC(=O)C1CCCC1C,0,1,0,0,-8.588776,-61.18814
CC(=O)C1CCCCC1,0,1,0,0,-9.550274,-65.93892
CC(=O)C1CCCCO1,0,1,0,0,-18.672335,-63.12249
CC(=O)C1CCCO1,0,1,0,0,-18.855898,-63.01125
CC(=O)C1CCCOC1,0,1,0,0,-12.377213,-66.35623
CC(=O)C1CCOC1,0,1,0,0,-12.023079,-66.4181
CC(=O)C1CCOC1C,0,1,0,0,-9.518147,-59.24936
CC(=O)C1CCOCC1,0,1,0,0,-11.531831,-65.953415
CC(=O)C1CCOCO1,0,1,0,0,-17.117865,-63.694744
CC(=O)C1COC(C)C1,0,1,0,0,-12.808739,-62.718006
CC(=O)C1COC(C)O1,0,1,0,0,-14.250024,-61.483772
CC(=O)C1COCC1C,0,1,0,0,-8.59496,-61.177704
CC(=O)C1COCCO1,0,1,0,0,-16.001776,-63.93682
CC(=O)C1COCO1,0,1,0,0,-16.45034,-64.39361
CC(=O)C1COCOC1,0,1,0,0,-12.771457,-65.31969
CC(=O)C1OCC(C)O1,0,1,0,0,-16.04983,-59.67464
CC(=O)C1OCCC1C,0,1,0,0,-9.659082,-58.994183
CC(=O)C1OCCCO1,0,1,0,0,-18.015648,-59.247536
CC(=O)C1OCCO1,0,1,0,0,-18.046217,-59.37022
CC(=O)C1OCOC1C,0,1,0,0,-10.217596,-58.022503
CC(=O)C1OCOCO1,0,1,0,0,-17.31595,-59.27848
CC(=O)CC(C)(C)C,1,0,0,0,22.830442,31.477093
CC(=O)CC(C)C,1,0,0,0,44.641117,10.605601
