salt,k(ms*cm-1),T,c_val,c_units,solvent_ratio_type,weighted_The number of atoms,weighted_The number of carbon atoms,weighted_The number of oxygen atoms,weighted_The ratio of carbon atoms to oxygen atoms,weighted_The number of rings,weighted_Molecular weight,weighted_Molecular radius,weighted_Molecular dipole moment,weighted_Average electronegativity,weighted_Average ionization energy,weighted_Average electron affinity,weighted_Number of hydrogen atoms,weighted_Hydrogen-to-carbon atom ratio,weighted_Number of sulfur atoms,weighted_Sulfur-to-carbon atom ratio,weighted_Number of nitrogen atoms,weighted_Nitrogen-to-carbon atom ratio,weighted_Number of fluorine atoms,weighted_Fluorine-to-carbon atom ratio,weighted_Number of chlorine atoms,weighted_Chlorine-to-carbon atom ratio,weighted_Number of silicon atoms,weighted_Silicon-to-carbon atom ratio,weighted_Number of halogen atoms,weighted_Halogen-to-carbon atom ratio,weighted_Average atomic mass,weighted_Average atomic mass of heavy atoms,weighted_Log P,weighted_Number of hydrogen bond acceptors,weighted_Number of rotatable bonds,weighted_Topological polar surface area ,weighted_Number of heavy atoms,weighted_Molecular complexity,weighted_Isotopic atom count,weighted_Number of undefined stereocenters,weighted_Number of covalent bond units,weighted_Boiling point,weighted_Melting point,weighted_Flash point,weighted_Density,weighted_Isochoric specific volume,weighted_Vapor density,weighted_Vapor pressure,weighted_Refractive index,weighted_Number of carbon-carbon double bonds,weighted_Number of carbon-carbon triple bonds,weighted_Number of ethers,weighted_Number of carbonyl groups,weighted_Number of ketones,weighted_Number of esters,weighted_Number of amines,weighted_Number of nitriles,weighted_Number of thioethers,weighted_Number of sulfoxides,weighted_Number of sulfones,weighted_Number of fluorides,weighted_Number of chlorides,weighted_Number of siloxanes,weighted_Maximum ring size,weighted_Minimum ring size,weighted_Number of rotatable bonds.1,weighted_Molar refractivity,weighted_Molecular polarizability,weighted_Molar volume,weighted_Water solubility,weighted_Lipid solubility,weighted_Viscosity,weighted_Surface tension,weighted_Polarizability,weighted_Number of chiral carbons,weighted_Is it a chiral molecule,weighted_Does it have stereocenters,weighted_Does it have a plane of symmetry,weighted_Does it have a center of symmetry,weighted_Rigidity/Flexibility,weighted_Number of aromatic rings,weighted_Number of aromatic bonds
LiPF6,0.160642894,333.2350339,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiPF6,0.150856146,322.7649243,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiPF6,0.14166563,313.8017217,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiPF6,0.13227699,303.681806,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiPF6,0.119347689,293.0497925,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiPF6,0.110171803,283.4922228,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiPF6,0.098273586,273.5415154,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiPF6,0.0856794,263.3418784,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiPF6,0.072181505,253.3064335,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
LiPF6,0.058092757,243.4820082,1,0,0,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.8561500000000004,2.92842,12.21825,-1.33815,6.6,1.7589,0,0,0,0,0,0,0,0,0,0,0,0,7.54908,13.70787,0.66,2.97,1.98,35.145,6.6,54.94500000000001,0,0,0.99,153.28500000000005,-2.013,131.34,1.108866,0.8982600000000001,3.3749100000000003,21.836034,1.37544,0,0,0.99,1.65,0,1.65,0,0,0,0,0,0,0,0,1.65,1.65,1.65,21.16356,8.3941869e-24,89.91444000000001,2.64,1.98,1.13916,29.304,8.547,0,0,0,0.99,0.99,0.33,0,0
