Feature,Importance,Std
T,0.5970408693452154,0.0070145556294436626
salt,0.15973262746848796,0.006519659657324603
c,0.0976006320985921,0.004149147080786179
The number of oxygen atoms,0.0500263229408105,0.005775005130361819
Molecular weight,0.030192817508692196,0.0038652287168054137
Molecular dipole moment,0.017994417708665597,0.004808951903835879
Molecular radius,0.010760692631806137,0.0037583830990650384
Average electron affinity,0.009566449595380463,0.0035959648771207798
The number of rings,0.006351190341772703,0.002340853051639762
Average ionization energy,0.005316510884485925,0.002988198795560666
Average electronegativity,0.004895251247098942,0.0026190504012242872
The number of atoms,0.004690665339283893,0.0026549093444438753
The ratio of carbon atoms to oxygen atoms,0.003569025278880682,0.002016049928447648
The number of carbon atoms,0.0022625276108276283,0.0018319467888960135
