k,salt,T,c,The number of atoms,The number of carbon atoms,The number of oxygen atoms,The ratio of carbon atoms to oxygen atoms,The number of rings,Molecular weight,Molecular radius,Molecular dipole moment,Average electronegativity,Average ionization energy,Average electron affinity
0.160642894,LiPF6,333.2350339,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.150856146,LiPF6,322.7649243,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.14166563,LiPF6,313.8017217,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.13227699,LiPF6,303.681806,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.119347689,LiPF6,293.0497925,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.110171803,LiPF6,283.4922228,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.098273586,LiPF6,273.5415154,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.0856794,LiPF6,263.3418784,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.072181505,LiPF6,253.3064335,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.058092757,LiPF6,243.4820082,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.043159309,LiPF6,233.6641853,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.030807411,LiPF6,223.4968354,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.092815386,LiBF4,332.7444052,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.089687079,LiBF4,322.7649243,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.085191199,LiBF4,313.3666112,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.082791608,LiBF4,303.681806,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.077747746,LiBF4,293.0497925,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.072595152,LiBF4,283.4922228,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.065126186,LiBF4,273.2108317,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.056779983,LiBF4,263.3418784,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.045697381,LiBF4,253.3064335,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.036360011,LiBF4,243.7446074,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.025367519,LiBF4,233.4228465,1,13.2,3.63,2.97,1.2111,0.33,97.7691,3.3065076,2.85615,2.92842,12.21825,-1.33815
0.346900385,LiAsF6,248.15,0.201429182,10.28,2.64,1.64,1.7856,0.32,63.9964,2.4878748,2.60016,2.87388,12.11868,-1.33308
0.428241617,LiAsF6,258.15,0.198827338,10.28,2.64,1.64,1.7856,0.32,63.9964,2.4878748,2.60016,2.87388,12.11868,-1.33308
0.505075429,LiAsF6,268.15,0.19841202,10.28,2.64,1.64,1.7856,0.32,63.9964,2.4878748,2.60016,2.87388,12.11868,-1.33308
0.586441092,LiAsF6,278.15,0.200134368,10.28,2.64,1.64,1.7856,0.32,63.9964,2.4878748,2.60016,2.87388,12.11868,-1.33308
0.658755268,LiAsF6,288.15,0.19974348,10.28,2.64,1.64,1.7856,0.32,63.9964,2.4878748,2.60016,2.87388,12.11868,-1.33308
0.735576864,LiAsF6,298.15,0.197166066,10.28,2.64,1.64,1.7856,0.32,63.9964,2.4878748,2.60016,2.87388,12.11868,-1.33308
0.481011421,LiAsF6,248.15,0.339082636,10.28,2.64,1.64,1.7856,0.32,63.9964,2.4878748,2.60016,2.87388,12.11868,-1.33308
0.582703231,LiAsF6,258.15,0.338532951,10.28,2.64,1.64,1.7856,0.32,63.9964,2.4878748,2.60016,2.87388,12.11868,-1.33308
