,EC,PC,DMC,EMC,DEC,DME,DMSO,AN,MOEMC,TFP,EA,MA,FEC,DOL,2-MeTHF,DMM,Freon 11,Methylene chloride,THF,Toluene,Sulfolane,2-Glyme,3-Glyme,4-Glyme,3-Me-2-Oxazolidinone,3-MeSulfolane,Ethyldiglyme,DMF,Ethylbenzene,Ethylmonoglyme,Benzene,g-Butyrolactone,Cumene,Propyl sulfone,Pseudocumene,TEOS,m-Xylene,o-Xylene
The number of atoms,10,13,12,15,18,9,10,7,19,9,14,11,10,11,16,29,5,5,13,15,15,23,30,37,14,18,29,12,18,16,12,12,21,23,21,33,18,18
The number of carbon atoms,3,4,3,4,5,2,2,3,5,3,4,3,3,3,5,8,3,2,4,7,4,6,8,10,4,5,8,3,8,4,6,4,9,6,9,8,8,8
The number of oxygen atoms,3,3,3,3,3,1,1,0,4,0,2,2,3,2,1,3,0,0,1,0,2,3,4,5,2,2,3,1,0,2,0,2,0,2,0,4,0,0
The ratio of carbon atoms to oxygen atoms,1,1.33,1,1.33,1.67,2,2,0,1.25,0,2,1.5,1,1.5,5,2.67,0,0,4,0,2,2,2,2,2,2.5,2.67,3,0,2,0,2,0,3,0,2,0,0
The number of carbonyl oxygens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The number of branches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The number of rings,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1
Molecular weight,88.06,102.09,90.08,104.1,118.13,46.07,78.14,53.06,134.13,96.05,88.11,74.08,106.05,74.08,86.13,162.23,137.36,84.93,72.11,92.14,120.17,134.17,178.23,222.28,101.1,134.2,162.23,73.09,106.16,90.12,78.11,86.09,120.19,150.24,120.19,208.33,106.16,106.16
Molecular radius,2.69347,3.18038,3.24885,3.95138,4.0774,2.16199,2.32537,2.52304,4.77202,2.40261,3.18017,2.69581,2.68968,2.17795,2.84136,5.37034,1.7536,1.68797,2.26922,3.1683,2.5193,5.20196,5.47709,7.81327,2.69512,2.93927,5.95569,2.45774,3.67939,3.6856,2.48156,2.6265,4.04512,4.39791,3.81711,4.79401,3.35888,3.37033
Molecular dipole moment,4.253,4.326,2.267,2.227,2.135,1.788,3.029,2.183,0.517,2.23,0.355,0.289,3.448,1.099,1.958,1.468,0.841,1.415,1.975,0.116,3.646,1.733,3.393,1.442,4.218,3.651,1.737,2.517,0.122,2.094,0,4.486,0.131,3.476,0.109,0,0.12,0.19
Average electronegativity,2.995,2.931,2.995,2.931,2.884,2.847,2.78,2.672,2.946,3.265,2.847,2.906,3.136,2.906,2.698,2.793,3.202,2.957,2.728,2.55,2.809,2.847,2.847,2.847,2.874,2.776,2.793,2.826,2.55,2.847,2.55,2.847,2.55,2.751,2.55,2.774,2.55,2.55
Average ionization energy,12.44,12.271,12.44,12.271,12.145,12.047,11.625,12.078,12.309,14.34,12.047,12.204,13.151,12.204,11.653,11.904,13.518,12.4,11.732,11.26,11.806,12.047,12.047,12.047,12.401,11.738,11.904,12.386,11.26,12.047,11.26,12.047,11.26,11.684,11.26,11.747,11.26,11.26
Average electron affinity,-1.36,-1.346,-1.36,-1.346,-1.335,-1.327,-1.515,-0.928,-1.349,-2.33,-1.327,-1.34,-1.651,-1.34,-1.293,-1.315,-3.098,-2.827,-1.3,-1.26,-1.434,-1.327,-1.327,-1.327,-1.127,-1.412,-1.315,-1.034,-1.26,-1.327,-1.26,-1.327,-1.26,-1.396,-1.26,-1.332,-1.26,-1.26
