Feature,Importance
T (Polynomial),0.4975407262038078
c,0.07963545405653141
salt,0.0775369330784091
Molecular complexity,0.03530190932399084
Number of heavy atoms,0.019141374659478072
Vapor density,0.01900091590910838
Number of chiral carbons,0.016978058490615393
Molecular weight,0.01485657327841916
Number of undefined stereocenters,0.01183710303210838
The number of carbon atoms,0.011635624263186602
Does it have a plane of symmetry,0.011354131336595177
Vapor pressure,0.010355144282989134
Is it a chiral Molecule,0.007875539080229426
2ar refractivity,0.007804679854915475
Cluster projection,0.007788538822335522
Boiling point,0.007514472694316557
Does it have a center of symmetry,0.0070242866958951196
The number of oxygen atoms,0.006994962147139931
Average atomic mass of heavy atoms,0.006956950970649388
2ar volume,0.006732849611207094
Refractive index,0.006337459931046441
Does it have stereocenters,0.006285858721600586
Average electron affinity,0.006260919966030507
Topological polar surface area ,0.00623194701313867
Melting point,0.0058063316912929114
Polarizability,0.005511650951207533
Number of hydrogen bond acceptors,0.0048718363641086365
Solvent Types,0.004812116169890016
Viscosity,0.004556839232473254
Average electronegativity,0.004343579967341077
The ratio of carbon atoms to oxygen atoms,0.004046275152931834
Hydrogen-to-carbon atom ratio,0.004021565107132379
The number of atoms,0.0038797428310786393
Average ionization energy,0.0038793645641793904
Log P,0.0037179288894712433
Molecular radius,0.003641548301566064
Isochoric specific volume,0.0035349552969969195
Molecular dipole moment,0.003506622972737526
Flash point,0.0034212488170935556
Density,0.003335811593464651
Surface tension,0.0031672724869105965
Average atomic mass,0.0028989642611527296
Lipid solubility,0.002815497928513985
Water solubility,0.0026931887840239755
Number of hydrogen atoms,0.0024441597434672517
solvent_ratio_type,0.00234864164375515
Nitrogen-to-carbon atom ratio,0.0022163823657276424
Number of carbonyl groups,0.0021537349144482238
Number of nitrogen atoms,0.0021452459454958128
Number of esters,0.0021073378005016133
Rigidity/Flexibility,0.0017680740105857427
Number of rotatable bonds,0.0017590042343509824
Maximum ring size,0.0016824743858518548
Number of ethers,0.0016708912542795669
Number of rotatable bonds.1,0.0016379128597723176
Minimum ring size,0.0014233124594380312
The number of rings,0.0012338851464439968
Number of carbon-carbon triple bonds,0.0010015662541966318
Number of nitriles,0.0007050598301656721
Number of ketones,0.0006273475473494116
Number of carbon-carbon double bonds,0.0006002632603971578
Number of covalent bond units,0.0005411885036910931
Number of thioethers,0.0005095147367584651
Number of sulfones,0.00048103836352100256
Number of sulfoxides,0.0004435874884493707
Sulfur-to-carbon atom ratio,0.0004108631707201932
Number of fluorides,0.0003652023768279206
Number of sulfur atoms,0.0003594495748445663
Fluorine-to-carbon atom ratio,0.0002650237975527768
Number of fluorine atoms,0.0002532682825231025
Number of halogen atoms,0.00023825287484512892
Number of amines,0.00022022603753884753
Halogen-to-carbon atom ratio,0.00021749990253563822
Isotopic atom count,0.00017544859304392284
Number of chlorides,0.00015562524298301923
Number of chlorine atoms,0.00015136771279068904
Chlorine-to-carbon atom ratio,0.0001274511762673267
Number of aromatic rings,4.856678846632619e-05
Number of aromatic bonds,3.417038044587911e-05
Silicon-to-carbon atom ratio,1.39247574306528e-05
Number of silicon atoms,1.1338308267171837e-05
Number of siloxanes,6.943486958661423e-06
Molecular polarizability,0.0
