Abbreviation,SMILES,Linear Carbonyl,Cyclic Carbonyl,Linear Ether,Cyclic Ether,tsne_x,tsne_y
EC,O=C1OCCO1,0,1,0,0,-21.615822,38.56619
EC,O=C1OCCO1,0,1,0,0,-21.615854,38.56605
PC,CC1COC(=O)O1,0,1,0,0,-48.304512,13.32844
DMC,COC(=O)OC,1,0,0,0,31.275482,19.723309
EMC,CCOC(=O)OC,1,0,0,0,55.090473,30.231674
DEC,CCOC(=O)OCC,1,0,0,0,54.57636,30.078056
DME,COCCOC,0,0,1,0,29.389462,-45.555634
DMSO,CS(C)=O,0,0,0,0,32.393852,23.003689
AN,CC#N,0,0,0,0,34.146355,-5.2973223
MOEMC,COCCOC(=O)OC,1,0,0,0,55.22121,33.498363
TFP,O=P(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F,0,0,0,0,26.435806,10.267772
EA,CCOC(C)=O,1,0,0,0,50.296196,30.265228
MA,COC(C)=O,1,0,0,0,31.59648,20.158466
FEC,O=C1OCC(F)O1,0,1,0,0,-47.16672,13.355315
DOL,C1COCO1,0,0,0,1,-19.490623,20.44778
2-MeTHF,CC1CCCO1,0,0,0,1,-14.116393,-36.20573
DMM,COCOC,0,0,1,0,33.077145,-35.87081
Freon 11,FC(Cl)(Cl)Cl,0,0,0,0,26.25289,9.452249
Methylene chloride,ClCCl,0,0,0,0,26.109066,8.800932
THF,C1CCOC1,0,0,0,1,-20.291328,18.26566
THF,C1CCOC1,0,0,0,1,-20.291328,18.26566
Toluene,Cc1ccccc1,0,0,0,0,27.608774,-0.83216614
Sulfolane,O=S1(=O)CCCC1,0,0,0,0,-32.546856,25.193727
2-Glyme,COCCOCCOC,0,0,1,0,30.487911,-45.459698
3-Glyme,COCCOCCOCCOC,0,0,1,0,30.486784,-45.454506
4-Glyme,COCCOCCOCCOCCOC,0,0,1,0,30.48938,-45.46005
3-Me-2-Oxazolidinone,CN1CCOC1=O,0,1,0,0,-20.937963,39.819714
3-MeSulfolane,CC1CCS(=O)(=O)C1,0,0,0,0,-33.10175,24.874409
Ethyldiglyme,CCOCCOCCOCC,0,0,1,0,39.095745,-40.88566
DMF,CN(C)C=O,1,0,0,0,33.07723,23.024824
Ethylbenzene,CCc1ccccc1,0,0,0,0,27.00709,-0.33766475
Ethylmonoglyme,CCOCCOCC,0,0,1,0,38.919827,-40.695293
Benzene,c1ccccc1,0,0,0,0,26.39421,-1.1427041
g-Butyrolactone,O=C1CCCO1,0,1,0,0,-24.612043,36.277496
Cumene,CC(C)c1ccccc1,0,0,0,0,27.391571,-0.0059772287
Propyl sulfone,CCCS(=O)(=O)CCC,0,0,0,0,24.580286,39.008453
Pseudocumene,Cc1ccc(C)c(C)c1,0,0,0,0,28.718884,-1.3903916
TEOS,CCO[Si](OCC)(OCC)OCC,0,0,0,0,38.947006,-38.07661
m-Xylene,Cc1cccc(C)c1,0,0,0,0,28.271341,-1.4037987
o-Xylene,Cc1ccccc1C,0,0,0,0,28.022285,-0.7692239
